이름,학교,학년,전화번호,이메일,지역(영문),지역(한글),접수유형,입금상태,참가비,신청일
강유진,세광고등학교,1,010-5766-9510,student256@example.com,Chungcheongbuk-do,충청북도,group,confirmed,20000,2026-02-16
오지우,세광고등학교,3,010-3587-6109,,Chungcheongbuk-do,충청북도,group,pending,20000,2026-02-08
서하은,세광고등학교,3,010-8733-3169,,Chungcheongbuk-do,충청북도,group,confirmed,20000,2026-02-02
황소율,청주고등학교,3,010-5712-3905,student259@example.com,Chungcheongbuk-do,충청북도,individual,pending,20000,2026-02-14
장예준,세광고등학교,3,010-9985-5418,student260@example.com,Chungcheongbuk-do,충청북도,group,pending,20000,2026-02-10
김민준,충북고등학교,1,010-6617-7886,student261@example.com,Chungcheongbuk-do,충청북도,individual,confirmed,20000,2026-02-19
이현우,세광고등학교,1,010-5435-8974,student262@example.com,Chungcheongbuk-do,충청북도,group,confirmed,20000,2026-02-08
안시우,온양고등학교,3,010-4374-5304,,Chungcheongnam-do,충청남도,individual,confirmed,20000,2026-02-08
조지우,천안고등학교,1,010-8117-1913,,Chungcheongnam-do,충청남도,individual,pending,20000,2026-02-01
김지민,온양고등학교,2,010-4689-9889,student265@example.com,Chungcheongnam-do,충청남도,individual,confirmed,20000,2026-02-08
홍수빈,온양고등학교,1,010-3742-7302,,Chungcheongnam-do,충청남도,group,confirmed,20000,2026-02-13
이도윤,천안고등학교,3,010-9626-1944,,Chungcheongnam-do,충청남도,individual,pending,20000,2026-02-11
김지민,공주고등학교,3,010-6589-4773,student268@example.com,Chungcheongnam-do,충청남도,individual,pending,20000,2026-02-15
안예은,공주고등학교,2,010-5441-9733,student269@example.com,Chungcheongnam-do,충청남도,individual,confirmed,20000,2026-02-03
윤하은,공주고등학교,1,010-4780-9475,,Chungcheongnam-do,충청남도,individual,confirmed,20000,2026-02-08
황도윤,천안고등학교,1,010-1119-3594,,Chungcheongnam-do,충청남도,individual,pending,20000,2026-02-02
오수빈,온양고등학교,3,010-9546-2191,,Chungcheongnam-do,충청남도,individual,confirmed,20000,2026-02-12
조현우,온양고등학교,2,010-4858-5784,student273@example.com,Chungcheongnam-do,충청남도,individual,pending,20000,2026-02-13
박수아,공주고등학교,1,010-2842-9362,,Chungcheongnam-do,충청남도,group,pending,20000,2026-02-18
송서연,군산고등학교,1,010-3486-4377,,Jeollabuk-do,전북특별자치도,individual,confirmed,20000,2026-02-14
임현우,이리고등학교,3,010-5312-3602,student276@example.com,Jeollabuk-do,전북특별자치도,individual,pending,20000,2026-02-09
김도윤,이리고등학교,2,010-2866-6338,student277@example.com,Jeollabuk-do,전북특별자치도,individual,pending,20000,2026-02-06
강태윤,전주고등학교,1,010-9596-3104,,Jeollabuk-do,전북특별자치도,individual,confirmed,20000,2026-02-15
권수아,전주고등학교,2,010-3136-1424,,Jeollabuk-do,전북특별자치도,group,pending,20000,2026-02-09
박예은,군산고등학교,1,010-8727-7042,student280@example.com,Jeollabuk-do,전북특별자치도,group,confirmed,20000,2026-02-03
홍예준,군산고등학교,1,010-1278-9959,,Jeollabuk-do,전북특별자치도,group,confirmed,20000,2026-02-02
정지훈,전주고등학교,3,010-3033-9442,,Jeollabuk-do,전북특별자치도,individual,confirmed,20000,2026-02-03
박시우,전주고등학교,1,010-2551-8220,,Jeollabuk-do,전북특별자치도,individual,pending,20000,2026-02-16
조하준,전주고등학교,3,010-7094-6100,student284@example.com,Jeollabuk-do,전북특별자치도,group,pending,20000,2026-02-06
류지한,군산고등학교,1,010-7493-7151,student285@example.com,Jeollabuk-do,전북특별자치도,individual,confirmed,20000,2026-02-19
조예은,순천고등학교,1,010-6262-7729,student286@example.com,Jellanam-do,전라남도,group,pending,20000,2026-02-02
서지훈,목포고등학교,2,010-2701-1305,student287@example.com,Jellanam-do,전라남도,individual,confirmed,20000,2026-02-09
윤수아,여수고등학교,2,010-7005-7047,student288@example.com,Jellanam-do,전라남도,individual,confirmed,20000,2026-02-01
정지훈,순천고등학교,2,010-7520-8252,student289@example.com,Jellanam-do,전라남도,individual,pending,20000,2026-02-19
임하은,여수고등학교,1,010-2537-2916,,Jellanam-do,전라남도,individual,confirmed,20000,2026-02-15
임도윤,여수고등학교,2,010-7302-3925,,Jellanam-do,전라남도,individual,confirmed,20000,2026-02-04
한주원,목포고등학교,3,010-7260-4317,student292@example.com,Jellanam-do,전라남도,group,confirmed,20000,2026-02-14
강서연,순천고등학교,3,010-6852-1083,,Jellanam-do,전라남도,individual,pending,20000,2026-02-04
김서윤,순천고등학교,1,010-4265-4107,student294@example.com,Jellanam-do,전라남도,individual,confirmed,20000,2026-02-17
김채원,여수고등학교,1,010-4941-9166,student295@example.com,Jellanam-do,전라남도,group,confirmed,20000,2026-02-20
강현우,안동고등학교,3,010-8333-2335,student296@example.com,Gyeongsangbuk-do,경상북도,group,confirmed,20000,2026-02-14
송시우,포항고등학교,2,010-7833-5528,,Gyeongsangbuk-do,경상북도,individual,confirmed,20000,2026-02-14
안예은,안동고등학교,1,010-4547-5427,student298@example.com,Gyeongsangbuk-do,경상북도,individual,pending,20000,2026-02-02
정수빈,포항고등학교,3,010-6542-4324,student299@example.com,Gyeongsangbuk-do,경상북도,group,pending,20000,2026-02-17
최하은,안동고등학교,1,010-3552-4060,student300@example.com,Gyeongsangbuk-do,경상북도,group,confirmed,20000,2026-02-03
류시우,안동고등학교,2,010-6612-8910,,Gyeongsangbuk-do,경상북도,individual,pending,20000,2026-02-02
신현우,경주고등학교,2,010-5033-7051,student302@example.com,Gyeongsangbuk-do,경상북도,individual,confirmed,20000,2026-02-18
황지훈,안동고등학교,1,010-7374-5716,student303@example.com,Gyeongsangbuk-do,경상북도,individual,confirmed,20000,2026-02-06
안현우,안동고등학교,2,010-9793-6256,student304@example.com,Gyeongsangbuk-do,경상북도,group,confirmed,20000,2026-02-17
장민준,경주고등학교,3,010-4853-2147,,Gyeongsangbuk-do,경상북도,individual,confirmed,20000,2026-02-01
홍지민,안동고등학교,1,010-4630-8100,student306@example.com,Gyeongsangbuk-do,경상북도,group,pending,20000,2026-02-19
권예은,포항고등학교,1,010-2942-7676,student307@example.com,Gyeongsangbuk-do,경상북도,group,confirmed,20000,2026-02-07
박서연,포항고등학교,2,010-7963-2022,student308@example.com,Gyeongsangbuk-do,경상북도,individual,confirmed,20000,2026-02-04
임예은,포항고등학교,3,010-8403-5191,,Gyeongsangbuk-do,경상북도,individual,confirmed,20000,2026-02-02
임예준,마산고등학교,1,010-1090-5993,student310@example.com,Gyeongsangnam-do,경상남도,group,confirmed,20000,2026-02-03
한승현,진주고등학교,2,010-7604-7426,student311@example.com,Gyeongsangnam-do,경상남도,group,confirmed,20000,2026-02-09
박민준,마산고등학교,3,010-8970-6966,student312@example.com,Gyeongsangnam-do,경상남도,individual,confirmed,20000,2026-02-07
신예은,진주고등학교,1,010-5969-1006,student313@example.com,Gyeongsangnam-do,경상남도,individual,pending,20000,2026-02-11
이민준,창원고등학교,2,010-1615-6710,,Gyeongsangnam-do,경상남도,individual,confirmed,20000,2026-02-12
정건우,마산고등학교,1,010-2012-6560,,Gyeongsangnam-do,경상남도,group,confirmed,20000,2026-02-14
조서연,창원고등학교,1,010-3399-9446,student316@example.com,Gyeongsangnam-do,경상남도,individual,confirmed,20000,2026-02-13
김건우,창원고등학교,3,010-2022-2990,,Gyeongsangnam-do,경상남도,group,pending,20000,2026-02-08
한예준,진주고등학교,3,010-4725-4916,,Gyeongsangnam-do,경상남도,individual,confirmed,20000,2026-02-16
황시우,진주고등학교,3,010-9934-9380,student319@example.com,Gyeongsangnam-do,경상남도,group,confirmed,20000,2026-02-16
정지호,진주고등학교,1,010-4001-8356,,Gyeongsangnam-do,경상남도,individual,pending,20000,2026-02-14
신현우,창원고등학교,1,010-6141-3687,,Gyeongsangnam-do,경상남도,group,confirmed,20000,2026-02-02
서건우,진주고등학교,2,010-4239-7298,,Gyeongsangnam-do,경상남도,individual,confirmed,20000,2026-02-11
박준서,마산고등학교,1,010-6019-3575,,Gyeongsangnam-do,경상남도,individual,pending,20000,2026-02-05
송주원,진주고등학교,2,010-2241-5247,,Gyeongsangnam-do,경상남도,group,confirmed,20000,2026-02-17
최지민,제주고등학교,3,010-5661-4515,student325@example.com,Jeju-do,제주특별자치도,individual,confirmed,20000,2026-02-17
안수아,제주고등학교,1,010-9049-5046,student326@example.com,Jeju-do,제주특별자치도,individual,confirmed,20000,2026-02-10
임하준,제주고등학교,1,010-1633-5465,,Jeju-do,제주특별자치도,group,confirmed,20000,2026-02-15
오태윤,서귀포고등학교,3,010-5760-5733,,Jeju-do,제주특별자치도,individual,pending,20000,2026-02-03
이서연,서귀포고등학교,2,010-5453-3570,student329@example.com,Jeju-do,제주특별자치도,group,pending,20000,2026-02-13
안준서,원주고등학교,3,010-6251-1282,,Gangwon-do,강원특별자치도,individual,confirmed,20000,2026-02-12
권태윤,춘천고등학교,1,010-3852-3576,,Gangwon-do,강원특별자치도,individual,confirmed,20000,2026-02-05
임하은,원주고등학교,3,010-4788-4466,student332@example.com,Gangwon-do,강원특별자치도,group,pending,20000,2026-02-06
황예준,원주고등학교,3,010-4301-3149,student333@example.com,Gangwon-do,강원특별자치도,individual,confirmed,20000,2026-02-03
송도윤,강릉고등학교,2,010-5225-9136,,Gangwon-do,강원특별자치도,group,confirmed,20000,2026-02-03
오하은,춘천고등학교,3,010-8459-4117,,Gangwon-do,강원특별자치도,group,pending,20000,2026-02-06
서도윤,춘천고등학교,1,010-1679-8726,,Gangwon-do,강원특별자치도,group,confirmed,20000,2026-02-09
황서윤,원주고등학교,2,010-8854-1307,student337@example.com,Gangwon-do,강원특별자치도,group,confirmed,20000,2026-02-20
한지한,춘천고등학교,3,010-9608-9248,,Gangwon-do,강원특별자치도,individual,pending,20000,2026-02-13
